"sold_price",".pred"
287500,301417.518783717
172500,175131.999460362
315000,439603.263932695
155000,211097.617608145
149900,109556.670591609
237000,249234.757884863
222000,268668.205724643
280000,201987.499852427
259900,309554.97743128
325000,335059.344734805
233000,246829.584133824
220000,248137.01741402
306000,286991.549554557
153000,140396.837334675
417250,341014.831929446
187500,228116.531392414
445000,512436.947276905
243033,254941.669414677
256400,254941.669414677
239900,254137.754203856
239000,233965.583501065
240150,232258.21232238
236150,280289.767321166
310000,435844.87358194
201600,191542.857234365
241000,226445.202148882
269900,298851.719290658
245000,283765.100673062
139900,212948.676045914
135000,128391.424160748
228900,248265.024376253
139000,187983.135028125
690000,491014.167786311
255000,333047.190751283
271400,284943.537179972
245000,250464.490234292
229900,269337.598321542
276000,258218.51166143
163000,158287.273370109
162000,182537.223459159
212750,186676.434646658
244000,234600.993837142
372500,321341.846906975
182000,162770.722566602
281900,217321.875678032
275000,265248.201656197
165000,128284.20775854
200000,74099.876529609
285900,262182.205233649
347000,299127.741095884
529000,529605.540599462
650000,565618.065878802
480000,343800.249188621
215000,205953.971695192
241000,204741.269903621
250000,193029.164810192
320000,263846.626783647
349900,292348.482613403
350000,314914.528968152
790000,552799.706167317
227000,173811.753643899
472900,531210.517814508
542597,457628.797794099
296500,349949.611486302
139000,191416.797679975
122000,139052.722420708
180000,223071.662439771
145500,142306.066347081
234000,259850.620431951
176500,196273.468750914
118000,140773.121855956
402500,456723.292563592
171500,182765.656177448
250000,271024.451346864
295000,350902.266148973
419000,441635.267204594
420000,477058.498587282
779993,890984.557076572
156000,138432.074730984
261516,236854.11373692
154900,168473.594085009
128500,208790.607424994
258000,278157.190547638
815277,686142.360290634
239072,267756.976314065
265000,227535.155388625
175000,185675.218253817
197500,230195.26010643
186000,229699.14938399
209900,223808.266695093
231000,245842.075761899
125000,124639.538039364
383000,536509.47117004
192650,206407.550778542
224900,259744.262602336
209900,229509.143410614
210000,203785.624985408
540000,483281.858340768
180000,190661.497394769
270625,251450.46189104
210010,205054.065137919
207000,219742.253537877
130000,159271.759653734
299000,359578.577810085
319900,362593.00206194
193900,199664.24809381
271000,328848.107003934
233000,244535.467471618
297000,331821.659915717
193500,200690.727480617
185000,226230.616663415
290000,349117.287748404
202250,191668.214806249
172900,207729.167402224
331000,363594.247334806
425000,532757.933790943
171500,173432.360042368
335000,268064.788743566
730000,745483.546300199
265000,253634.938120771
227900,252801.66547594
179900,234658.820103386
195000,260369.059613743
235000,236157.82761749
314310,294205.225028873
219900,209000.542370191
185000,196632.086771262
227500,206302.542783266
293500,271740.165333046
185000,205529.160070669
307500,355521.013919138
337322,342832.361854522
210000,190453.819295851
270000,239237.767823271
218900,263719.950835625
215000,209079.269905643
194900,210705.92941783
336000,319272.93032637
440000,435912.923328748
755000,449216.617148282
286321,253126.078304008
160501,155228.543635483
130000,129286.149899852
120000,121068.068795977
