"sold_price",".pred"
430477,355372.75286607
165000,223862.877234978
332800,370402.88330179
220400,235957.276850184
335000,399356.272916946
420000,467695.906178944
165000,185813.837185287
193000,156648.07493755
279900,302812.310640128
118500,138013.310784432
236043,245148.504156984
245900,209173.600705957
148000,115394.814148571
99000,124380.596796182
355000,426266.46267171
75000,55194.9553341394
306000,470098.858709855
125000,86941.5371493869
334000,366099.840453317
185000,193815.018472725
326000,388546.354502686
251900,206458.499633916
285000,340113.112185962
421500,538434.725101369
740000,658301.618059197
100000,123792.811453509
303837,275412.501640326
167000,208956.916261204
206000,222227.144929168
240399,211295.943528005
280000,323279.841723699
650000,497222.554881999
230000,292861.55383694
568092,512019.011658486
248065,268297.805149411
466900,495049.062676561
650000,565944.440115461
256755,259675.701686836
305000,314526.757195181
244972,290167.763493139
215000,272312.175973067
335000,356184.83127612
210000,282773.606790722
321000,310359.682216258
175000,162646.71967463
219900,250275.125038049
238900,257067.938391319
175000,184723.836600203
340000,349496.757967679
240000,264942.070271888
364900,431201.298307786
169000,105038.023019502
237000,255253.968984926
332000,231007.100067123
639350,576560.140538397
530000,513908.569570393
220000,144018.026663334
269900,277260.447274696
390000,387611.810133341
475000,486951.628551617
376500,334107.318612792
317000,376165.895323318
359700,338954.730588157
266200,305547.681355499
743000,609803.33421306
553452,280575.717895035
155000,140360.722840398
110000,100887.303622764
195000,233806.447706368
139900,185444.221978852
140000,195501.558204858
300000,241800.359128786
400000,336220.008848212
362450,284667.477169397
450900,332702.689568619
111000,110838.576633689
310000,273135.457504917
165000,161178.955553496
212900,266791.262243661
167000,202672.313729447
206000,203907.006252729
322000,284785.195980102
295000,315483.000916386
138200,162284.481625381
237000,277938.273415973
127000,97718.438836115
275000,304510.969234833
159900,196855.818855254
87000,77546.9570645989
760000,507664.694789964
390000,360477.613961966
277000,320327.40953168
215000,217464.434874912
321567,396918.7650492
334458,387310.524058715
216000,248785.124013612
290900,337117.17530548
182000,202108.714454723
230000,225270.007622535
222499,278752.835604044
163000,190917.379939325
152200,159003.469410152
132000,143950.633653201
227021,304333.088025227
248325,319979.946906738
175000,176582.485772827
185000,209411.839349568
180000,208417.702247022
242000,287226.704258496
467239,470547.976807551
273303,320993.342839607
110000,77425.9668179703
252000,265097.22406597
420000,482671.435463537
360000,353949.709244088
260000,233504.464276564
930000,561706.216200308
2250000,295774.673660756
134000,282957.724101009
210000,187945.06612094
219900,214313.81052289
215000,163551.957423377
183000,242309.077487982
141250,131925.304074334
178000,161069.319645525
231606,288153.487757326
239500,206597.071888841
262222,285036.277827605
225000,191699.009872209
355000,444919.259614604
212900,177112.806334713
252113,280292.501656787
184000,216535.103098149
204300,234441.299734886
218600,239888.506504496
211200,239931.308450993
182000,209484.09147672
95000,132034.426023839
